campanha_id,etapa_atual,total_leads,leads_proxima_etapa,perda_percentual
,novo,2,1,50
,vendido,1,,
cmp_001,novo,17,22,-29.41
cmp_001,qualificado,22,22,0
cmp_001,em_atendimento,22,6,72.73
cmp_001,briefing_realizado,6,2,66.67
cmp_001,proposta,2,4,-100
cmp_001,vendido,4,,
cmp_002,novo,19,12,36.84
cmp_002,qualificado,12,20,-66.67
cmp_002,em_atendimento,20,2,90
cmp_002,briefing_realizado,2,3,-50
cmp_002,proposta,3,7,-133.33
cmp_002,vendido,7,,
cmp_003,novo,11,11,0
cmp_003,qualificado,11,13,-18.18
cmp_003,em_atendimento,13,4,69.23
cmp_003,briefing_realizado,4,3,25
cmp_003,proposta,3,8,-166.67
cmp_003,vendido,8,,
cmp_004,novo,5,9,-80
cmp_004,qualificado,9,2,77.78
cmp_004,em_atendimento,2,2,0
cmp_004,briefing_realizado,2,3,-50
cmp_004,proposta,3,13,-333.33
cmp_004,vendido,13,,
cmp_005,novo,19,23,-21.05
cmp_005,qualificado,23,13,43.48
cmp_005,em_atendimento,13,5,61.54
cmp_005,briefing_realizado,5,4,20
cmp_005,proposta,4,5,-25
cmp_005,vendido,5,,
cmp_006,novo,11,13,-18.18
cmp_006,qualificado,13,12,7.69
cmp_006,em_atendimento,12,1,91.67
cmp_006,briefing_realizado,1,2,-100
cmp_006,proposta,2,11,-450
cmp_006,vendido,11,,
cmp_999,novo,3,,
